Nom,Pays,Note,Type de séjour,Chambre,Durée,Date du commentaire,Commentaire
,Nesrine (France,6.0,Famille,Double vue sur Ville,2 nuits,19 septembre 2022,Le ménage laisse à désirer.
,Moutia,6.0,Famille,Double Supérieure - Vue sur Mer,4 nuits,12 octobre 2022,Aucun commentaire laissé.
,Boul_romille (France,7.0,Famille,Double vue sur Ville,1 nuit,23 octobre 2022,"Restaurant sous forme de buffet, agréable et bon prix. Peu de pression d'eau dans la salle de bain. Hôtel situé proche d'une route passante."
,Christophe (France,7.0,Famille,Double vue sur Ville,1 nuit,30 novembre 2022,Aucun commentaire laissé.
,Néji (France,8.0,Famille,Double Supérieure - Vue sur Mer,6 nuits,10 janvier 2024,Aucun commentaire laissé.
,,,Famille,Double vue sur Ville,5 nuits,20 février 2024,"Excellent, hôtel très bien situé, personnels très agréables et professionnels. Merci pour ce séjour. Je recommande vivement cet hôtel."
,Rekaya (Allemagne,9.0,Famille,Double Supérieure - Vue sur Mer,3 nuits,20 avril 2024,"L’équipement est un peu ancien, mais très propre. Le service était excellent, personnel toujours aimable et très attentif. Emplacement central avec parkings disponibles."
,Martine (France,8.0,Famille,Triple - Vue sur Mer,2 nuits,4 juillet 2024,Aucun commentaire laissé.
,Thierry (France,8.0,Famille,Double Supérieure - Vue sur Mer,5 nuits,12 juillet 2024,L’amabilité du personnel.
,Valeria (Italie,8.0,Famille,Double Supérieure - Vue sur Mer,2 nuits,12 juillet 2024,"Très accueillant et élégant, staff professionnel et efficace. La structure est ancienne, non rénovée. La baignoire n’est pas accessible aux personnes à mobilité réduite. L’établissement devrait être plus inclusif. Le Wi-Fi ne fonctionnait pas bien.

11.Chiraz (États-Unis) – Note : 10
Type de séjour : Famille
Chambre : Double Supérieure - Vue sur Mer
Durée : 2 nuits
Date du commentaire : 16 juillet 2024
Commentaire :
Ce client n'a pas laissé de commentaire.

12.Ophélie (France) – Note : 4,0
Type de séjour : Famille
Chambre : Triple - Vue sur Mer
Durée : 2 nuits
Date du commentaire : 20 juillet 2024
Commentaire :
La localisation. La propreté, les équipements bas de gamme et le petit déjeuné très moyen.

13.Kamel (France) – Note : 10
Type de séjour : Famille
Chambre : Double Supérieure - Vue sur Mer
Durée : 12 nuits
Date du commentaire : 22 juillet 2024
Commentaire :
Top top, personnel accueillant, propreté irréprochable, infrastructures nickel, buffet à volonté très varié, aliments frais. Vraiment rien à redire, je recommande vivement l’hôtel. Bizerte est l'endroit idéal pour vos vacances !

14.Faouzia (Canada) – Note : 10
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 2 nuits
Date du commentaire : 27 juillet 2024
Commentaire :
Ce client n'a pas laissé de commentaire.

15.Mourad (France) – Note : 5,0
Type de séjour : Famille
Chambre : Triple - Vue sur Ville
Durée : 1 nuit
Date du commentaire : 29 juillet 2024
Commentaire :
Rien. Tout limite insalubre.

16.Mihaela (Roumanie) – Note : 7,0
Type de séjour : Famille
Chambre : Triple - Vue sur Ville
Durée : 1 nuit
Date du commentaire : 31 juillet 2024
Commentaire :
Ce client n'a pas laissé de commentaire.

17.Hanane (France) – Note : 10
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 6 nuits
Date du commentaire : 3 août 2024
Commentaire :
L’accueil. RAS.

18.Nabil (Tunisie) – Note : 7,0
Type de séjour : Famille
Chambre : Triple - Vue sur Ville
Durée : 2 nuits
Date du commentaire : 7 août 2024
Commentaire :
Jätt bra men strand smutsigt. Strand lång borta. (Très bien mais plage sale et éloignée.)

19.Benabdallah (France) – Note : 6,0
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 2 nuits
Date du commentaire : 9 août 2024
Commentaire :
La piscine intérieure. Je n’ai pas aimé la moquette dans la chambre et le petit déjeuner était ""pote"".

20.Bochra (France) – Note : 7,0
Type de séjour : Famille
Chambre : Double vue sur Ville
Durée : 1 nuit
Date du commentaire : 16 août 2024
Commentaire :
L’emplacement. Petit déjeuner très modeste."
